Location,Order Id,Order #,Sent Date,Order Date,Check Id,Server,Table,Dining Area,Service,Dining Option,Item Selection Id,Item Id,Master Id,SKU,PLU,Menu Item,Menu Subgroup(s),Menu Group,Menu,Sales Category,Gross Price,Discount,Net Price,Qty,Tax,Void?,Deferred,Tax Exempt,Tax Inclusion Option,Dining Option Tax,Tab Name
1234 Elmwood Avenue,900000004019159011,1,4/10/24 4:27 PM,4/10/24 4:26 PM,900000004019159010,Bartender A,,,Dinner,,900000004019157145,900000000019755902,900000000019755903,,,Tenderloin,,Main Dishes,Food,Food,7.0,0.0,3.5,1.0,0.22,False,False,False,Tax Not Included,No Effect,Morgan Brown
1234 Elmwood Avenue,900000004019159011,1,4/10/24 4:27 PM,4/10/24 4:26 PM,900000004019159010,Bartender A,,,Dinner,,900000004019157149,900000000019755902,900000000019755903,,,Tenderloin,,Main Dishes,Food,Food,7.0,0.0,3.5,1.0,0.22,False,False,False,Tax Not Included,No Effect,Casey Doe
1234 Elmwood Avenue,900000004019159011,1,4/10/24 4:27 PM,4/10/24 4:26 PM,900000004019159010,Bartender A,,,Dinner,,900000004019159002,900000000055263913,900000000055263914,,,Cheese Curds,,Sides,Food,Food,8.0,0.0,4.0,1.0,0.25,False,False,False,Tax Not Included,No Effect,Chris Davis
1234 Elmwood Avenue,900000004019159011,1,4/10/24 4:27 PM,4/10/24 4:26 PM,900000004020053804,Bartender A,,,Dinner,,900000004019159004,900000000274634192,900000000274634193,,,"Keystone Light, Can",,Can,Beer,Bottled Beer,1.88,0.0,1.88,1.0,0.12,False,False,False,Tax Included,No Effect,
1234 Elmwood Avenue,900000004019159011,1,4/10/24 4:27 PM,4/10/24 4:26 PM,900000004020053804,Bartender A,,,Dinner,,900000004019159006,900000000089092526,900000000089092527,,,Barefoot Singles,,Wine,Wine,Bottled Beer,4.0,0.0,4.0,1.0,0.25,False,False,False,Tax Included,No Effect,
1234 Elmwood Avenue,900000004019190489,2,4/10/24 4:28 PM,4/10/24 4:28 PM,900000004019190488,Bartender A,,,Dinner,,900000004019190486,900000000274634192,900000000274634193,,,"Keystone Light, Can",,Can,Beer,Bottled Beer,1.88,0.0,1.88,1.0,0.12,False,False,False,Tax Included,No Effect,
1234 Elmwood Avenue,900000004019557063,3,4/10/24 4:42 PM,4/10/24 4:42 PM,900000004019557062,Bartender A,,,Dinner,,900000004019557060,900000000274634192,900000000274634193,,,"Keystone Light, Can",,Can,Beer,Bottled Beer,1.88,0.0,1.88,1.0,0.12,False,False,False,Tax Included,No Effect,
1234 Elmwood Avenue,900000004019159011,1,4/10/24 4:57 PM,4/10/24 4:26 PM,900000004020053804,Bartender A,,,Dinner,,900000004019935598,900000003493479423,900000003493479424,,,Guiness Nitro Draft,,Special Events (Drinks),Special Events,Bottled Beer,4.71,0.0,4.71,1.0,0.29,False,False,False,Tax Included,No Effect,
1234 Elmwood Avenue,900000004019159011,1,4/10/24 4:58 PM,4/10/24 4:26 PM,900000004020053804,Bartender A,,,Dinner,,900000004019972659,900000000089092526,900000000089092527,,,Barefoot Singles,,Wine,Wine,Bottled Beer,4.0,0.0,4.0,1.0,0.25,False,False,False,Tax Included,No Effect,
1234 Elmwood Avenue,900000004019159011,1,4/10/24 5:03 PM,4/10/24 4:26 PM,900000004020053804,Bartender A,,,Dinner,,900000004020132162,900000000237108633,900000000237108634,,,"Busch Light, Draft",,Draft,Beer,Draft Beer,3.29,0.0,3.29,1.0,0.21,False,False,False,Tax Included,No Effect,
1234 Elmwood Avenue,900000004019159011,1,4/10/24 5:03 PM,4/10/24 4:26 PM,900000004020053804,Bartender A,,,Dinner,,900000004020132164,900000000089092526,900000000089092527,,,Barefoot Singles,,Wine,Wine,Bottled Beer,4.0,0.0,4.0,1.0,0.25,False,False,False,Tax Included,No Effect,
1234 Elmwood Avenue,900000004021390076,6,4/10/24 5:43 PM,4/10/24 5:43 PM,900000004021390074,Bartender A,,,Dinner,,900000004021390070,900000000237108633,900000000237108634,,,"Busch Light, Draft",,Draft,Beer,Draft Beer,3.29,0.0,3.29,1.0,0.21,False,False,False,Tax Included,No Effect,
1234 Elmwood Avenue,900000004021631623,7,4/10/24 5:51 PM,4/10/24 5:50 PM,900000004021631622,Bartender A,,,Dinner,,900000004021631618,900000000019640545,900000000019640546,,,Pepsi,,Soft Drinks,Soft Drinks,NA Beverage,2.35,0.0,2.35,1.0,0.15,False,False,False,Tax Included,No Effect,
1234 Elmwood Avenue,900000004021631623,7,4/10/24 5:51 PM,4/10/24 5:50 PM,900000004021631622,Bartender A,,,Dinner,,900000004021631620,900000000036423988,900000000036423989,,,Water,Kids Drinks,Soft Drinks,Soft Drinks,NA Beverage,0.0,0.0,0.0,1.0,0.0,False,False,False,Tax Included,No Effect,
1234 Elmwood Avenue,900000004021631623,7,4/10/24 5:55 PM,4/10/24 5:50 PM,900000004021631622,Bartender A,,,Dinner,,900000004021781196,900000000033414386,900000000033414387,,,Tea - Sweet,,Soft Drinks,Soft Drinks,NA Beverage,2.35,0.0,2.35,1.0,0.15,False,False,False,Tax Included,No Effect,
1234 Elmwood Avenue,900000004021631623,7,4/10/24 5:55 PM,4/10/24 5:50 PM,900000004021631622,Bartender A,,,Dinner,,900000004021783852,900000000019755904,900000000019755905,,,Bacon Cheese Burger,,Main Dishes,Food,Food,6.5,0.0,6.5,1.0,0.41,False,False,False,Tax Not Included,No Effect,
1234 Elmwood Avenue,900000004021631623,7,4/10/24 5:55 PM,4/10/24 5:50 PM,900000004021631622,Bartender A,,,Dinner,,900000004021783855,900000000213998188,900000000213998189,,,Onion Rings,,Sides,Food,Food,4.75,0.0,4.75,1.0,0.3,False,False,False,Tax Not Included,No Effect,
1234 Elmwood Avenue,900000004021631623,7,4/10/24 5:55 PM,4/10/24 5:50 PM,900000004021631622,Bartender A,,,Dinner,,900000004021783860,900000001133620863,900000001133620864,,,Fried Beef Tacos,,Food Specials,Food Specials,Food,6.0,0.0,6.0,1.0,0.38,False,False,False,Tax Not Included,No Effect,
1234 Elmwood Avenue,900000004021631623,7,4/10/24 5:55 PM,4/10/24 5:50 PM,900000004021631622,Bartender A,,,Dinner,,900000004021783865,900000001133620863,900000001133620864,,,Fried Beef Tacos,,Food Specials,Food Specials,Food,7.5,0.0,7.5,1.0,0.47,False,False,False,Tax Not Included,No Effect,
1234 Elmwood Avenue,900000004021631623,7,4/10/24 5:55 PM,4/10/24 5:50 PM,900000004021631622,Bartender A,,,Dinner,,900000004021783868,900000001133978443,900000001133978444,,,Chips & Salsa,,Food Specials,Food Specials,Food,4.0,0.0,4.0,1.0,0.25,False,False,False,Tax Not Included,No Effect,
1234 Elmwood Avenue,900000004021964267,8,4/10/24 6:00 PM,4/10/24 6:00 PM,900000004021964266,Bartender A,,,Dinner,,900000004021964262,900000000237108633,900000000237108634,,,"Busch Light, Draft",,Draft,Beer,Draft Beer,3.29,0.0,3.29,1.0,0.21,False,False,False,Tax Included,No Effect,
1234 Elmwood Avenue,900000004021964267,8,4/10/24 6:00 PM,4/10/24 6:00 PM,900000004021964266,Bartender A,,,Dinner,,900000004021964264,900000000033414388,900000000033414389,,,Tea - Unsweet,,Soft Drinks,Soft Drinks,NA Beverage,2.35,0.0,2.35,1.0,0.15,False,False,False,Tax Included,No Effect,
1234 Elmwood Avenue,900000004021964267,8,4/10/24 6:04 PM,4/10/24 6:00 PM,900000004021964266,Bartender A,,,Dinner,,900000004022107743,900000001133620863,900000001133620864,,,Fried Beef Tacos,,Food Specials,Food Specials,Food,5.5,0.0,5.5,1.0,0.34,False,False,False,Tax Not Included,No Effect,
1234 Elmwood Avenue,900000004021964267,8,4/10/24 6:04 PM,4/10/24 6:00 PM,900000004021964266,Bartender A,,,Dinner,,900000004022107749,900000000019694091,900000000019694092,,,Wings,,Main Dishes,Food,Food,8.75,0.0,8.75,1.0,0.55,False,False,False,Tax Not Included,No Effect,
1234 Elmwood Avenue,900000004022191858,9,4/10/24 6:07 PM,4/10/24 6:07 PM,900000004022191857,Bartender A,,,Dinner,,900000004022191855,900000002682978730,900000002682978731,,,Blue Moon,,Draft,Beer,Draft Beer,3.76,0.0,3.76,1.0,0.24,False,False,False,Tax Included,No Effect,
