Location,Payment Id,Order Id,Order #,Paid Date,Order Date,Check Id,Check #,Tab Name,Server,Table,Dining Area,Service,Dining Option,House Acct #,Amount,Tip,Gratuity,Total,Swiped Card Amount,Keyed Card Amount,Amount Tendered,Refunded,Refund Date,Refund Amount,Refund Tip Amount,Void User,Void Approver,Void Date,Status,Type,Cash Drawer,Card Type,Other Type,Email,Phone,Last 4 Card Digits,V/MC/D Fees,Room Info,Receipt,Source
1234 Elmwood Avenue,900000004019193393,900000004019190489,2,4/10/24 4:28 PM,4/10/24 4:28 PM,900000004019190488,2,,Bartender A,,,Dinner,,,2.0,0.0,0.0,2.0,0.0,0.0,20.0,NONE,,,,,,,CAPTURED,Cash,Bar-1 Receipt,,,,,,,,yeFff9QnUVVr4,In Store
1234 Elmwood Avenue,900000004019558511,900000004019557063,3,4/10/24 4:42 PM,4/10/24 4:42 PM,900000004019557062,3,,Bartender A,,,Dinner,,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,NONE,,,,,,,CAPTURED,Cash,Bar-1 Receipt,,,,,,,,XG4MjeyABboyj,In Store
1234 Elmwood Avenue,900000004020072652,900000004019159011,1,4/10/24 5:01 PM,4/10/24 4:26 PM,900000004019159010,1,Jordan Smith,Bartender A,,,Dinner,,,11.69,0.0,0.0,11.69,0.0,0.0,20.0,NONE,,,,,,,CAPTURED,Cash,Bar-1 Receipt,,,,,,,,xsZXrndhQibLU,In Store
1234 Elmwood Avenue,900000004020134450,900000004019159011,1,4/10/24 5:04 PM,4/10/24 4:26 PM,900000004020053804,4,,Bartender A,,,Dinner,,,23.25,0.0,0.0,23.25,0.0,0.0,23.25,NONE,,,,,,,CAPTURED,Cash,Bar-1 Receipt,,,,,,,,Fz0t8U5WMUOO1,In Store
1234 Elmwood Avenue,900000004021389931,900000004021390076,6,4/10/24 5:43 PM,4/10/24 5:43 PM,900000004021390074,6,,Bartender A,,,Dinner,,,3.5,0.0,0.0,3.5,0.0,0.0,5.0,NONE,,,,,,,CAPTURED,Cash,Bar-1 Receipt,,,,,,,,roIcGOoY6TCaQ,In Store
1234 Elmwood Avenue,900000004022193083,900000004022191858,9,4/10/24 6:07 PM,4/10/24 6:07 PM,900000004022191857,9,,Bartender A,,,Dinner,,,4.0,0.0,0.0,4.0,0.0,0.0,5.0,NONE,,,,,,,CAPTURED,Cash,Bar-1 Receipt,,,,,,,,kt3qdPBWuRHkS,In Store
1234 Elmwood Avenue,900000004023286433,900000004021631623,7,4/10/24 6:39 PM,4/10/24 5:50 PM,900000004021631622,7,,Bartender A,,,Dinner,,,35.56,0.0,0.0,35.56,0.0,0.0,40.0,NONE,,,,,,,CAPTURED,Cash,Bar-1 Receipt,,,,,,,,1cA8MORprdDJf,In Store
1234 Elmwood Avenue,900000004024083195,900000004021964267,8,4/10/24 7:03 PM,4/10/24 6:00 PM,900000004021964266,8,,Bartender A,,,Dinner,,,30.45,0.0,0.0,30.45,0.0,0.0,35.0,NONE,,,,,,,CAPTURED,Cash,Bar-1 Receipt,,,,,,,,tvMzlTWL1MgDh,In Store
1234 Elmwood Avenue,900000004024147673,900000004024146131,14,4/10/24 7:05 PM,4/10/24 7:05 PM,900000004024146130,14,,Bartender A,,,Dinner,,,6.0,0.0,0.0,6.0,0.0,0.0,10.0,NONE,,,,,,,CAPTURED,Cash,Bar-1 Receipt,,,,,,,,xhK3Vt0rprVcL,In Store
1234 Elmwood Avenue,900000004024412937,900000004024413500,16,4/10/24 7:14 PM,4/10/24 7:14 PM,900000004024410749,16,,Bartender A,,,Dinner,,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,NONE,,,,,,,CAPTURED,Cash,Bar-1 Receipt,,,,,,,,aIvLx3GBG1YRS,In Store
1234 Elmwood Avenue,900000004024445249,900000004022520275,11,4/10/24 7:15 PM,4/10/24 6:14 PM,900000004022520271,11,,Bartender A,,,Dinner,,,32.28,0.0,0.0,32.28,0.0,0.0,40.0,NONE,,,,,,,CAPTURED,Cash,Bar-1 Receipt,,,,,,,,Sjz5tyJendvU0,In Store
1234 Elmwood Avenue,900000004024652928,900000004023552887,12,4/10/24 7:26 PM,4/10/24 6:16 PM,900000004023552886,12,,Bartender A,,,Dinner,,,31.29,5.89,0.0,37.18,0.0,0.0,,NONE,,,,,,,AUTHORIZED,Credit,,Amex,,,,XXXX,,,iUsfA4CxskjaA,API
1234 Elmwood Avenue,900000004024930867,900000004024930393,19,4/10/24 7:31 PM,4/10/24 7:31 PM,900000004024930392,19,,Bartender A,,,Dinner,,,3.5,0.0,0.0,3.5,0.0,0.0,5.0,NONE,,,,,,,CAPTURED,Cash,Bar-1 Receipt,,,,,,,,gOkf8BLXwVYqW,In Store
1234 Elmwood Avenue,900000004024952754,900000004024951122,20,4/10/24 7:32 PM,4/10/24 7:32 PM,900000004024951121,20,,Bartender A,,,Dinner,,,2.0,0.0,0.0,2.0,0.0,0.0,5.0,NONE,,,,,,,CAPTURED,Cash,Bar-1 Receipt,,,,,,,,rXEdo5At7XgRS,In Store
1234 Elmwood Avenue,900000004025082386,900000004024227002,15,4/10/24 7:36 PM,4/10/24 7:07 PM,900000004024227001,15,Taylor Doe,Bartender A,,,Dinner,,,23.91,0.0,0.0,23.91,0.0,0.0,40.0,NONE,,,,,,,CAPTURED,Cash,Bar-1 Receipt,,,,,,,,NeTG2NF8qrwQS,In Store
1234 Elmwood Avenue,900000004025162843,900000004025159790,21,4/10/24 7:39 PM,4/10/24 7:39 PM,900000004025159789,21,,Bartender A,,,Dinner,,,2.0,0.0,0.0,2.0,0.0,0.0,20.0,NONE,,,,,,,CAPTURED,Cash,Bar-1 Receipt,,,,,,,,QmX40UXeYIN9u,In Store
1234 Elmwood Avenue,900000004025428946,900000004023591933,13,4/10/24 7:48 PM,4/10/24 6:48 PM,900000004023591929,13,,Bartender A,,,Dinner,,,33.0,0.0,0.0,33.0,33.0,0.0,0.0,NONE,,,,,,,AUTHORIZED,Credit,,Visa,,,,XXXX,,,OhwiIqin0wvYs,In Store
1234 Elmwood Avenue,900000004025539190,900000004024702795,17,4/10/24 7:52 PM,4/10/24 7:22 PM,900000004024702794,17,,Bartender A,,,Dinner,,,31.27,0.0,0.0,31.27,31.27,0.0,0.0,NONE,,,,,,,AUTHORIZED,Credit,,Mastercard,,,,XXXX,,,2A7RNOZOI2skP,In Store
1234 Elmwood Avenue,900000004025770139,900000004025769317,26,4/10/24 8:01 PM,4/10/24 8:01 PM,900000004025769316,26,,Bartender A,,,Dinner,,,2.0,0.0,0.0,2.0,0.0,0.0,2.0,NONE,,,,,,,CAPTURED,Cash,Bar-1 Receipt,,,,,,,,M5HxW4rbXqYZr,In Store
1234 Elmwood Avenue,900000004025776037,900000004025778558,27,4/10/24 8:02 PM,4/10/24 8:01 PM,900000004025778557,27,,Bartender A,,,Dinner,,,3.5,0.0,0.0,3.5,0.0,0.0,5.0,NONE,,,,,,,CAPTURED,Cash,Bar-1 Receipt,,,,,,,,gepHWlwBNaMZJ,In Store
1234 Elmwood Avenue,900000004025851239,900000004024825701,18,4/10/24 8:04 PM,4/10/24 7:26 PM,900000004025594041,22,,Bartender A,,,Dinner,,,13.82,2.6,0.0,16.42,16.42,0.0,0.0,NONE,,,,,,,AUTHORIZED,Credit,,Mastercard,,,,XXXX,,,xa2JWrzZi600p,In Store
1234 Elmwood Avenue,900000004025889213,900000004024825701,18,4/10/24 8:06 PM,4/10/24 7:26 PM,900000004025594042,23,,Bartender A,,,Dinner,,,6.38,0.0,0.0,6.38,0.0,0.0,7.5,NONE,,,,,,,CAPTURED,Cash,Bar-1 Receipt,,,,,,,,l4QHAy1cVfsmQ,In Store
1234 Elmwood Avenue,900000004025907501,900000004024825701,18,4/10/24 8:07 PM,4/10/24 7:26 PM,900000004025594043,24,,Bartender A,,,Dinner,,,9.56,0.0,0.0,9.56,0.0,0.0,9.56,NONE,,,,,,,CAPTURED,Cash,Bar-1 Receipt,,,,,,,,tW7acjEIKFj1g,In Store
1234 Elmwood Avenue,900000004025932152,900000004025930951,29,4/10/24 8:08 PM,4/10/24 8:07 PM,900000004025928199,29,,Bartender A,,,Dinner,,,2.0,0.0,0.0,2.0,0.0,0.0,20.0,NONE,,,,,,,CAPTURED,Cash,Bar-1 Receipt,,,,,,,,hYUUye0ErfG5C,In Store
1234 Elmwood Avenue,900000004026112885,900000004025705455,25,4/10/24 8:15 PM,4/10/24 7:58 PM,900000004025704245,25,Chris Smith,Bartender A,,,Dinner,,,11.69,0.0,0.0,11.69,0.0,0.0,20.0,NONE,,,,,,,CAPTURED,Cash,Bar-1 Receipt,,,,,,,,Lak6kR53Fv5cG,In Store
